"id","title","lenght","MPAA rating","Release date","Budget","Revenue","IMDB ID","TMDB ID","Actor1","Actor2","Actor3","Actor4","Actor1rank","Actor2rank","Actor3rank","Actor4rank","Director","DirectorRank","Writer1","Writer2","Writer1Rank","Writer2Rank","Studio","StudioRank","Language","Genre","Country"
"29","City of Lost Children, The (Cité des enfants perdus, La) (1995)","108","R","1995-05-16 00:00:00 UTC","18000000","1738611","112682","902","Ron Perlman","Daniel Emilfork","Judith Vittet","Dominique Pinon","7","1","1","4","Marc Caro","2","Gilles Adrien","3","Jean-Pierre Jeunet","3","Constellation Productions","1","Français","Adventure","France"
"32","Twelve Monkeys (a.k.a. 12 Monkeys) (1995)","129","R","1995-12-27 00:00:00 UTC","29500000","168840000","114746","63","Joseph Melito","Bruce Willis","Jon Seda","Michael Chance","1","25","1","1","Terry Gilliam","5","Chris Marker","1","David Webb Peoples","2","Universal Pictures","205","English","Thriller","United States of America"
"34","Babe (1995)","89","G","1995-08-03 00:00:00 UTC","30000000","254134910","112431","9598","Christine Cavanaugh","Miriam Margolyes","Danny Mann","Hugo Weaving","1","2","1","4","Chris Noonan","1","Dick King-Smith","2","George Miller","6","Universal Pictures","205","English","Children","United States of America"
"36","Dead Man Walking (1995)","122","R","1995-12-29 00:00:00 UTC","11000000","39363635","112818","687","Susan Sarandon","Sean Penn","Robert Prosky","Raymond J. Barry","8","12","5","3","Tim Robbins","1","Helen Prejean","1","Tim Robbins","1","Havoc","1","English","Drama","United States of America"
"44","Mortal Kombat (1995)","101","PG-13","1995-08-18 00:00:00 UTC","18000000","122000000","113855","9312","Christopher Lambert","Robin Shou","Linden Ashby","Cary-Hiroyuki Tagawa","6","2","1","2","Paul W.S. Anderson","5","Ed Boon","2","John Tobias","1","New Line Cinema","93","English","Adventure","United States of America"
"45","To Die For (1995)","106","R","1995-09-27 00:00:00 UTC","20000000","21284514","114681","577","Nicole Kidman","Matt Dillon","Joaquin Phoenix","Casey Affleck","15","6","6","2","Gus Van Sant","3","Joyce Maynard","1","Buck Henry","1","The Rank Organisation","1","English","Comedy","United States of America"
"48","Pocahontas (1995)","81","G","1995-06-14 00:00:00 UTC","55000000","346079773","114148","10530","Irene Bedard","Judy Kuhn","Mel Gibson","David Ogden Stiers","1","1","13","2","Mike Gabriel","2","Carl Binder","1","Susannah Grant","3","Walt Disney Pictures","84","English","Animation","United States of America"
"69","Friday (1995)","91","R","1995-04-26 00:00:00 UTC","3500000","28215918","113118","10634","Ice Cube","Chris Tucker","Nia Long","Tommy 'Tiny' Lister","9","3","3","1","F. Gary Gray","6","Ice Cube","2","DJ Pooh","2","New Line Cinema","93","English","Comedy","United States of America"
"70","From Dusk Till Dawn (1996)","108","R","1996-01-18 00:00:00 UTC","19000000","25836616","116367","755","George Clooney","Quentin Tarantino","Harvey Keitel","Juliette Lewis","20","1","6","3","Robert Rodriguez","6","Robert Kurtzman","1","Quentin Tarantino","8","A Band Apart","5","English","Comedy","United States of America"
"71","Fair Game (1995)","91","R","1995-11-03 00:00:00 UTC","50000000","11534477","113010","11859","William Baldwin","Cindy Crawford","Steven Berkoff","Christopher McDonald","3","1","2","3","Andrew Sipes","1","Paula Gosling","1","Charlie Fletcher","1","Warner Bros.","119","English","Action","United States of America"
"76","Screamers (1995)","108","R","1995-09-08 00:00:00 UTC","20000000","5781885","114367","9102","Peter Weller","Roy Dupuis","Jennifer Rubin","Andrew Lauer","2","1","2","1","Christian Duguay","3","Philip K. Dick","6","Dan O'Bannon","6","Fuji Eight Company Ltd.","1","English","Action","United States of America"
"86","White Squall (1996)","129","PG-13","1996-02-02 00:00:00 UTC","38000000","10300000","118158","10534","Jeff Bridges","Caroline Goodall","John Savage","Scott Wolf","16","2","2","2","Ridley Scott","12","Charles Gieg Jr.","1","Felix Sutton","1","Hollywood Pictures","17","English","Adventure","United States of America"
"93","Vampire in Brooklyn (1995)","100","R","1995-10-27 00:00:00 UTC","14000000","19800000","114825","12158","Eddie Murphy","Angela Bassett","Allen Payne","Kadeem Hardison","19","8","2","2","Wes Craven","5","Eddie Murphy","3","Vernon Lynch","1","Paramount Pictures","173","English","Comedy","United States of America"
"101","Bottle Rocket (1996)","91","R","1996-02-21 00:00:00 UTC","5000000","407488","115734","13685","Luke Wilson","Owen Wilson","Ned Dowd","Shea Fowler","6","17","1","1","Wes Anderson","3","Owen Wilson","2","Wes Anderson","3","Columbia Pictures Corporation","42","English","Adventure","United States of America"
"104","Happy Gilmore (1996)","92","PG-13","1996-02-16 00:00:00 UTC","10000000","41205099","116483","9614","Adam Sandler","Christopher McDonald","Julie Bowen","Frances Bay","14","3","2","1","Dennis Dugan","8","Tim Herlihy","3","Adam Sandler","6","Universal Pictures","205","English","Comedy","United States of America"
"119","Steal Big, Steal Little (1995)","113","PG-13","1995-09-29 00:00:00 UTC","25000000","6278139","114536","78406","Andy Garcia","Alan Arkin","Rachel Ticotin","Joe Pantoliano","5","6","2","3","Andrew Davis","4","Andrew Davis","2","Teresa Tucker-Davies","1","Savoy Pictures","2","English","Comedy","United States of America"
"122","Boomerang (1992)","117","R","1992-06-30 00:00:00 UTC","40000000","70100000","103859","11066","Eddie Murphy","Robin Givens","Halle Berry","David Alan Grier","19","2","11","1","Reginald Hudlin","2","Eddie Murphy","3","Barry W. Blaustein","1","Paramount Pictures","173","English","Comedy","United States of America"
"145","Bad Boys (1995)","118","R","1995-04-07 00:00:00 UTC","19000000","141407024","112442","9737","Lisa Boyle","Will Smith","Martin Lawrence","Michael Taliferro","1","14","9","1","Michael Bay","8","George Gallo","2","Michael Barrie","1","Columbia Pictures","108","English","Comedy","United States of America"
"150","Apollo 13 (1995)","140","PG","1995-06-30 00:00:00 UTC","52000000","355237933","112384","568","Tom Hanks","Bill Paxton","Kevin Bacon","Gary Sinise","21","5","9","4","Ron Howard","9","Jim Lovell","1","Jeffrey Kluger","1","Universal Pictures","205","English","Adventure","United States of America"
"153","Batman Forever (1995)","121","PG-13","1995-06-15 00:00:00 UTC","100000000","336529144","112462","414","Val Kilmer","Tommy Lee Jones","Jim Carrey","Nicole Kidman","11","12","17","15","Joel Schumacher","6","Bob Kane","7","Lee Batchler","2","Warner Bros. Pictures","104","English","Adventure","United States of America"
"156","Blue in the Face (1995)","83","R","1995-09-15 00:00:00 UTC","2000000","1275000","112541","5894","Lou Reed","Michael J. Fox","Roseanne Barr","Mel Gorham","1","9","2","1","Paul Auster","1","Paul Auster","1","Wayne Wang","1","Miramax Films","51","English","Comedy","United States of America"
"158","Casper (1995)","100","PG","1995-05-26 00:00:00 UTC","50000000","287928194","112642","8839","Chauncey Leopardi","Spencer Vrooman","Malachi Pearson","Cathy Moriarty","1","1","1","3","Brad Silberling","4","Joseph Oriolo","1","Sherri Stoner","2","Universal Pictures","205","English","Adventure","United States of America"
"161","Crimson Tide (1995)","116","R","1995-05-12 00:00:00 UTC","55000000","157387195","112740","8963","Denzel Washington","Gene Hackman","Matt Craven","George Dzundza","14","13","1","2","Tony Scott","11","Michael Schiffer","1","Richard P. Henrick","1","Hollywood Pictures","17","English","Drama","United States of America"
"165","Die Hard: With a Vengeance (1995)","131","R","1995-05-15 00:00:00 UTC","90000000","361212499","112864","1572","Bruce Willis","Jeremy Irons","Samuel L. Jackson","Graham Greene","25","8","16","2","John McTiernan","7","Jonathan Hensleigh","5","Roderick Thorp","3","Twentieth Century Fox Film Corporation","82","English","Action","United States of America"
"168","First Knight (1995)","134","PG-13","1995-07-07 00:00:00 UTC","55000000","127600435","113071","6520","Sean Connery","Richard Gere","Julia Ormond","Ben Cross","12","8","3","1","Jerry Zucker","3","Lorne Cameron","2","David Hoselton","1","Columbia Pictures Corporation","42","English","Romance","United States of America"
"181","Mighty Morphin Power Rangers: The Movie (1995)","92","PG","1995-06-30 00:00:00 UTC","15000000","66000000","113820","9070","Karan Ashley","Johnny Yong Bosch","Steve Cardenas","Jason David Frank","1","1","2","1","Bryan Spicer","2","John Kamps","1","Arne Olsen","1","20th Century Fox","51","English","Children","United States of America"
"185","Net, The (1995)","114","PG-13","1995-07-28 00:00:00 UTC","22000000","110627965","113957","1642","Sandra Bullock","Jeremy Northam","Dennis Miller","Diane Baker","12","4","2","1","Irwin Winkler","1","John D. Brancato","4","Michael Ferris","4","Columbia Pictures","108","English","Action","United States of America"
"204","Under Siege 2: Dark Territory (1995)","100","R","1995-07-13 00:00:00 UTC","60000000","104324083","114781","3512","Steven Seagal","Eric Bogosian","Everett McGill","Katherine Heigl","7","1","1","7","Geoff Murphy","1","Richard Hatem","2","Matt Reeves","2","Regency Enterprises","37","English","Action","United States of America"
"208","Waterworld (1995)","135","PG-13","1995-07-28 00:00:00 UTC","175000000","264218220","114898","9804","Kevin Costner","Chaim Girafi","Rick Aviles","R.D. Call","14","1","1","1","Kevin Reynolds","3","Peter Rader","1","David Twohy","5","Universal Pictures","205","English","Adventure","United States of America"
"213","Burnt by the Sun (Utomlyonnye solntsem) (1994)","135","R","1994-06-06 00:00:00 UTC","2800000","2616503","111579","50797","Oleg Menshikov","Nikita Mikhalkov","Ingeborga Dapkunaite","Nadezhda Mikhalkova","1","2","1","1","Nikita Mikhalkov","2","Rustam Ibragimbekov","2","Rustam Ibragimbekov","2","Canal+","32","Pусский","Drama","Russia"
"215","Before Sunrise (1995)","105","R","1995-01-27 00:00:00 UTC","2500000","5535405","112471","76","Ethan Hawke","Julie Delpy","Andrea Eckert","Hanno Pöschl","8","4","1","1","Richard Linklater","5","Richard Linklater","4","Kim Krizan","1","Detour Film Production","2","English","Romance","United States of America"
"216","Billy Madison (1995)","89","PG-13","1995-02-10 00:00:00 UTC","10000000","26488734","112508","11017","Adam Sandler","Darren McGavin","Bridgette Wilson-Sampras","Bradley Whitford","14","1","4","1","Tamra Davis","2","Tim Herlihy","3","Adam Sandler","6","Jack Giarraputo Productions","1","English","Comedy","United States of America"
"224","Don Juan DeMarco (1995)","97","PG-13","1994-10-01 00:00:00 UTC","25000000","22200000","112883","1909","Marlon Brando","Johnny Depp","Faye Dunaway","Géraldine Pailhas","9","25","4","1","Jeremy Leven","1","Lord Byron","1","Jeremy Leven","4","New Line Cinema","93","English","Comedy","United States of America"
"231","Dumb & Dumber (Dumb and Dumber) (1994)","107","PG-13","1994-12-16 00:00:00 UTC","16000000","246200000","109686","8467","Jim Carrey","Jeff Daniels","Lauren Holly","Mike Starr","17","7","2","1","Peter Farrelly","9","Peter Farrelly","5","Bennett Yellin","2","New Line Cinema","93","English","Adventure","United States of America"
"235","Ed Wood (1994)","127","R","1994-09-27 00:00:00 UTC","18000000","5887457","109707","522","Johnny Depp","Martin Landau","Sarah Jessica Parker","Patricia Arquette","25","3","5","3","Tim Burton","16","Rudolph Grey","1","Scott Alexander","4","Touchstone Pictures","72","English","Comedy","United States of America"
"246","Hoop Dreams (1994)","171","PG-13","1994-09-12 00:00:00 UTC","700000","7830611","110057","14275","William Gates","Arthur Agee","Emma Gates","Curtis Gates","1","1","1","1","Steve James","2","Steve James","2","Frederick Marx","1","Fine Line Features","5","English","Documentary","United States of America"
"247","Heavenly Creatures (1994)","99","R","1994-09-02 00:00:00 UTC","5000000","3049135","110005","1024","Melanie Lynskey","Kate Winslet","Sarah Peirse","Diana Kent","1","7","1","1","Peter Jackson","10","Fran Walsh","10","Peter Jackson","2","Miramax Films","51","English","Drama","New Zealand"
"253","Interview with the Vampire: The Vampire Chronicles (1994)","123","R","1994-11-11 00:00:00 UTC","60000000","223664608","110148","628","Brad Pitt","Christian Slater","Virginia McCollam","John McConnell","18","5","1","1","Neil Jordan","4","Anne Rice","2","Anne Rice","2","Warner Bros. Pictures","104","English","Drama","United States of America"
"266","Legends of the Fall (1994)","133","R","1994-12-16 00:00:00 UTC","30000000","160638883","110322","4476","Brad Pitt","Anthony Hopkins","Aidan Quinn","Julia Ormond","18","17","3","3","Edward Zwick","7","Susan Shilliday","1","William D. Wittliff","2","TriStar Pictures","36","English","Romance","United States of America"
"271","Losing Isaiah (1995)","107","R","1995-03-17 00:00:00 UTC","17000000","7603766","113691","28313","Jessica Lange","Halle Berry","David Strathairn","Cuba Gooding Jr.","5","11","6","6","Stephen Gyllenhaal","1","Seth Margolis","1","Naomi Foner","1","Paramount Pictures","173","English","Drama","United States of America"
"273","Mary Shelley's Frankenstein (Frankenstein) (1994)","123","R","1994-11-04 00:00:00 UTC","45000000","112000000","109836","3036","Robert De Niro","Kenneth Branagh","Tom Hulce","Helena Bonham Carter","28","5","4","10","Kenneth Branagh","3","Mary Shelley","1","Steph Lady","1","TriStar Pictures","36","English","Drama","United States of America"
"294","Perez Family, The (1995)","113","R","1995-05-12 00:00:00 UTC","11000000","2832826","114113","63020","Marisa Tomei","Alfred Molina","Anjelica Huston","Chazz Palminteri","3","8","6","4","Mira Nair","6","Christine Bell","1","Robin Swicord","2","Samuel Goldwyn Company, The","1","English","Comedy","United States of America"
"296","Pulp Fiction (1994)","154","R","1994-10-14 00:00:00 UTC","8000000","213928762","110912","680","Tim Roth","Amanda Plummer","Laura Lovelace","John Travolta","7","1","1","14","Quentin Tarantino","6","Quentin Tarantino","8","Roger Avary","3","Miramax Films","51","English","Comedy","United States of America"
"304","Roommates (1995)","0","PG","1995-03-01 00:00:00 UTC","22000000","12400000","114296","161495","Peter Falk","D.B. Sweeney","Julianne Moore","Ellen Burstyn","2","2","16","6","Peter Yates","1","Max Apple","2","Max Apple","2","Interscope Communications","6","English","Comedy","United States of America"
"315","Specialist, The (1994)","110","R","1994-10-07 00:00:00 UTC","45000000","170000000","111255","2636","Sylvester Stallone","Sharon Stone","James Woods","Rod Steiger","19","6","4","2","Luis Llosa","2","John Shirley","1","Alexandra Seros","1","Warner Bros Pictures","8","English","Drama","United States of America"
"316","Stargate (1994)","121","PG-13","1994-10-27 00:00:00 UTC","55000000","196567262","111282","2164","Kurt Russell","James Spader","Jaye Davidson","Viveca Lindfors","14","2","1","1","Roland Emmerich","6","Dean Devlin","3","Roland Emmerich","7","Carolco Pictures","7","English","Adventure","United States of America"
"318","Shawshank Redemption, The (1994)","142","R","1994-09-14 00:00:00 UTC","25000000","28341469","111161","278","Tim Robbins","Morgan Freeman","Bob Gunton","William Sadler","4","17","1","1","Frank Darabont","3","Stephen King","15","Frank Darabont","3","Castle Rock Entertainment","15","English","Drama","United States of America"
"327","Tank Girl (1995)","98","R","1995-03-31 00:00:00 UTC","25000000","6600000","114614","9067","Lori Petty","Ice-T","Naomi Watts","Don Harvey","4","2","5","2","Rachel Talalay","2","Alan Martin","1","Jamie Hewlett","1","Metro-Goldwyn-Mayer (MGM)","34","English","Comedy","United States of America"
"329","Star Trek: Generations (1994)","118","PG","1994-11-17 00:00:00 UTC","38000000","120000000","111280","193","Patrick Stewart","Jonathan Frakes","Brent Spiner","LeVar Burton","7","3","3","3","David Carson","1","Gene Roddenberry","9","Rick Berman","3","Paramount Pictures","173","English","Adventure","United States of America"
"337","What's Eating Gilbert Grape (1993)","118","PG-13","1993-12-17 00:00:00 UTC","11000000","30000000","108550","1587","Johnny Depp","Leonardo DiCaprio","Juliette Lewis","Mary Steenburgen","25","11","3","5","Lasse Hallström","6","Peter Hedges","4","Peter Hedges","4","Paramount Pictures","173","English","Drama","United States of America"
"339","While You Were Sleeping (1995)","103","PG","1995-04-21 00:00:00 UTC","17000000","182057016","114924","2064","Sandra Bullock","Bill Pullman","Peter Gallagher","Peter Boyle","12","7","3","4","Jon Turteltaub","5","Daniel G. Sullivan","1","Fredric LeBow","1","Hollywood Pictures","17","English","Comedy","United States of America"
"347","Bitter Moon (1992)","139","R","1992-07-12 00:00:00 UTC","5000000","1862805","104779","10497","Peter Coyote","Emmanuelle Seigner","Hugh Grant","Kristin Scott Thomas","2","3","4","7","Roman Polanski","6","Pascal Bruckner","1","Roman Polanski","3","Canal+","32","English","Romance","United States of America"
"349","Clear and Present Danger (1994)","141","PG-13","1994-08-02 00:00:00 UTC","45000000","207500000","109444","9331","Harrison Ford","Willem Dafoe","Anne Archer","Joaquim de Almeida","18","8","3","1","Phillip Noyce","5","Tom Clancy","4","Donald Stewart","1","Paramount Pictures","173","English","Drama","United States of America"
"353","Crow, The (1994)","102","R","1994-05-11 00:00:00 UTC","15000000","144000000","109506","9495","Brandon Lee","Rochelle Davis","Ernie Hudson","Michael Wincott","2","1","3","3","Alex Proyas","4","James O'Barr","1","David J. Schow","1","Miramax Films","51","English","Fantasy","United States of America"
"355","Flintstones, The (1994)","91","PG","1994-05-26 00:00:00 UTC","46000000","341631208","109813","888","John Goodman","Elizabeth Perkins","Rick Moranis","Rosie O'Donnell","12","3","3","1","Brian Levant","3","Tom S. Parker","1","Jim Jennewein","1","Universal Pictures","205","English","Children","United States of America"
"356","Forrest Gump (1994)","142","PG-13","1994-06-22 00:00:00 UTC","55000000","677945399","109830","13","Tom Hanks","Rebecca Williams","Sally Field","Michael Conner Humphreys","21","1","3","1","Robert Zemeckis","11","Winston Groom","1","Eric Roth","7","Paramount Pictures","173","English","Comedy","United States of America"
"364","Lion King, The (1994)","89","G","1994-06-23 00:00:00 UTC","45000000","788241776","110357","8587","Jonathan Taylor Thomas","Matthew Broderick","James Earl Jones","Jeremy Irons","1","8","4","8","Roger Allers","2","Irene Mecchi","1","Jonathan Roberts","1","Walt Disney","10","English","Adventure","United States of America"
"365","Little Buddha (1993)","140","PG","1993-12-01 00:00:00 UTC","35000000","4858139","107426","1689","Keanu Reeves","Ruocheng Ying","Chris Isaak","Alex Wiesendanger","13","1","1","1","Bernardo Bertolucci","4","Bernardo Bertolucci","3","Rudy Wurlitzer","1","Miramax Films","51","English","Drama","France"
"366","Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)","112","R","1994-10-14 00:00:00 UTC","14000000","18090181","111686","11596","Jeff Davis","Heather Langenkamp","Miko Hughes","Matt Winston","1","2","1","1","Wes Craven","5","Wes Craven","9","Wes Craven","9","New Line Cinema","93","English","Drama","United States of America"
"367","Mask, The (1994)","101","PG-13","1994-07-29 00:00:00 UTC","23000000","351583407","110475","854","Jim Carrey","Peter Riegert","Peter Greene","Amy Yasbeck","17","1","2","2","Chuck Russell","5","Michael Fallon","1","Mark Verheiden","1","New Line Cinema","93","English","Comedy","United States of America"
"380","True Lies (1994)","141","R","1994-07-14 00:00:00 UTC","115000000","378882411","111503","36955","Arnold Schwarzenegger","Jamie Lee Curtis","Tom Arnold","Bill Paxton","22","9","1","5","James Cameron","4","Claude Zidi","1","Simon Michaël","1","Twentieth Century Fox Film Corporation","82","English","Adventure","United States of America"
"383","Wyatt Earp (1994)","191","PG-13","1994-06-24 00:00:00 UTC","63000000","25052000","111756","12160","Kevin Costner","Dennis Quaid","Gene Hackman","David Andrews","14","9","13","2","Lawrence Kasdan","2","Dan Gordon","2","Lawrence Kasdan","4","Warner Bros.","119","English","Western","United States of America"
"405","Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994)","99","PG-13","1994-11-29 00:00:00 UTC","26000000","36800000","110027","8011","Christopher Lambert","Mario Van Peebles","Deborah Kara Unger","Mako","6","3","3","5","Andrew Morahan","1","Gregory Widen","3","Brad Mirman","1","Trans-Film","1","English","Fantasy","France"
"420","Beverly Hills Cop III (1994)","104","R","1994-05-24 00:00:00 UTC","50000000","119208989","109254","306","Eddie Murphy","Jon Tenney","Joey Travolta","Eugene Collier","19","1","1","1","John Landis","6","Danilo Bach","3","Daniel Petrie Jr.","3","Paramount Pictures","173","English","Comedy","United States of America"
"428","Bronx Tale, A (1993)","121","R","1993-09-14 00:00:00 UTC","22000000","17266971","106489","1607","Robert De Niro","Chazz Palminteri","Lillo Brancato","Francis Capra","28","4","1","1","Robert De Niro","1","Chazz Palminteri","4","Chazz Palminteri","4","Savoy Pictures","2","English","Drama","United States of America"
"434","Cliffhanger (1993)","112","R","1993-05-28 00:00:00 UTC","65000000","255000000","106582","9350","Sylvester Stallone","John Lithgow","Michael Rooker","Janine Turner","19","7","3","1","Renny Harlin","10","John Long","1","Michael France","4","Carolco Pictures","7","English","Adventure","United States of America"
"436","Color of Night (1994)","121","R","1994-08-19 00:00:00 UTC","40000000","19726050","109456","2124","Bruce Willis","Jane March","Rubén Blades","Lesley Ann Warren","25","1","3","1","Richard Rush","1","Billy Ray","4","Matthew Chapman","1","Cinergi Pictures Entertainment","5","English","Drama","United States of America"
"442","Demolition Man (1993)","115","R","1993-10-06 00:00:00 UTC","57000000","159055768","106697","9739","Sylvester Stallone","Wesley Snipes","Sandra Bullock","Nigel Hawthorne","19","8","12","1","Marco Brambilla","1","Peter M. Lenkov","1","Robert Reneau","1","Warner Bros. Pictures","104","English","Adventure","United States of America"
"453","For Love or Money (1993)","92","PG","1993-10-01 00:00:00 UTC","30000000","11146270","106941","9024","Michael J. Fox","Gabrielle Anwar","Anthony Higgins","Michael Tucker","9","1","1","1","Barry Sonnenfeld","8","Mark Rosenthal","3","Lawrence Konner","3","Universal Studios","4","English","Comedy","United States of America"
"454","Firm, The (1993)","154","R","1993-06-30 00:00:00 UTC","42000000","270248367","106918","37233","Tom Cruise","Jeanne Tripplehorn","Gene Hackman","Hal Holbrook","20","1","13","2","Sydney Pollack","6","John Grisham","4","David Rabe","2","Paramount Pictures","173","English","Drama","United States of America"
"455","Free Willy (1993)","112","PG","1993-07-16 00:00:00 UTC","20000000","153698625","106965","1634","Jason James Richter","Lori Petty","Jayne Atkinson","August Schellenberg","1","4","1","1","Simon Wincer","2","Keith Walker","2","Keith Walker","2","Warner Bros.","119","English","Adventure","United States of America"
"457","Fugitive, The (1993)","130","PG-13","1993-08-05 00:00:00 UTC","40000000","368875760","106977","5503","Harrison Ford","Tommy Lee Jones","Sela Ward","Julianne Moore","18","12","2","16","Andrew Davis","4","Jeb Stuart","4","David Twohy","5","Warner Bros. Pictures","104","English","Thriller","United States of America"
"458","Geronimo: An American Legend (1993)","115","PG-13","1993-12-10 00:00:00 UTC","35000000","18635620","107004","35588","Jason Patric","Gene Hackman","Robert Duvall","Wes Studi","5","13","12","1","Walter Hill","8","John Milius","4","John Milius","4","Columbia Pictures","108","English","Drama","United States of America"
"466","Hot Shots! Part Deux (1993)","86","PG-13","1993-05-21 00:00:00 UTC","25000000","133752825","107144","9255","Charlie Sheen","Lloyd Bridges","Valeria Golino","Richard Crenna","6","4","4","4","Jim Abrahams","4","Jim Abrahams","5","Pat Proft","5","Twentieth Century Fox Film Corporation","82","English","Comedy","United States of America"
"469","House of the Spirits, The (1993)","140","R","1993-10-19 00:00:00 UTC","25000000","6265311","107151","2259","Maria Conchita Alonso","António Assunção","Julie Balloo","Frank Baker","2","1","1","1","Bille August","1","Isabel Allende","1","Bille August","1","Miramax Films","51","English","Romance","United States of America"
"475","In the Name of the Father (1993)","133","R","1993-12-12 00:00:00 UTC","13000000","65796862","107207","7984","Alison Crosbie","Daniel Day-Lewis","Philip King","Emma Thompson","1","5","1","4","Jim Sheridan","1","Gerry Conlon","1","Terry George","2","Universal Pictures","205","English","Drama","United Kingdom"
"480","Jurassic Park (1993)","127","PG-13","1993-06-08 00:00:00 UTC","63000000","920100000","107290","329","Sam Neill","Laura Dern","Jeff Goldblum","Richard Attenborough","7","5","7","1","Steven Spielberg","21","Michael Crichton","7","Michael Crichton","7","Universal Pictures","205","English","Adventure","United States of America"
"481","Kalifornia (1993)","117","R","1993-09-01 00:00:00 UTC","9000000","2395231","107302","10909","Brad Pitt","Kathy Larson","David Milford","David Duchovny","18","1","1","3","Dominic Sena","3","Stephen Levy","1","Tim Metcalfe","2","Propaganda Films","3","English","Drama","United States of America"
"485","Last Action Hero (1993)","130","PG-13","1993-06-17 00:00:00 UTC","85000000","137298489","107362","9593","Arnold Schwarzenegger","F. Murray Abraham","Art Carney","Charles Dance","22","2","1","3","John McTiernan","7","Zak Penn","8","Adam Leff","1","Columbia Pictures Corporation","42","English","Adventure","United States of America"
