id,title,director_id,length,trailer_url,mpaa_rating,release_date,imdb_votes,release_year,adult,backdrop_path,budget,overview,tmdb_popularity,poster_path,revenue,tagline,tmdb_vote_average,tmdb_vote_count,imdb_id,tmdb_id,created_at,updated_at,awards,metascore,imdb_rating,Actor1,Actor 2,Actor 3,Actor 4,Director,Writer,Writer2,Income,Genre,Genre2,Studio,Studio2,Language,Language2,Country,Country2
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",,108,,R,1995-05-16 00:00:00 UTC,51,1995,false,/4FnkreXkvv3Wbu5XBz5NLMTyMh4.jpg,18000000,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",0,/wO3p0lUHwg5RbapwBznCgi8nVC6.jpg,1738611,Where happily ever after is just a dream.,7,97,112682,902,2015-04-22 18:06:50 UTC,2015-04-22 18:24:16 UTC,2 wins & 11 nominations.,73,7,Ron Perlman,Daniel Emilfork,Judith Vittet,Dominique Pinon,"Marc Caro, Jean-Pierre Jeunet",Gilles Adrien,Jean-Pierre Jeunet,-90.34105,Adventure,Fantasy,Constellation Productions,Claudie Ossard Productions,Français,广州话 / 廣州話,France,NA
31,Dangerous Minds (1995),,99,,R,1995-08-11 00:00:00 UTC,34,1995,false,/hf2j8n3vFIS0T4EXpQNkvUvBnQd.jpg,0,"LouAnne Johnson is a Marine turned teacher who squares off against a classroom of impudent, inner-city teens, whose bullying tactics nearly drive her out the first day. But Johnson radically changes her lesson plan to include bribery and browbeating (despite objections from the school's prissy principal) in an effort to teach the class that learning is its own reward. Based on LouAnne Johnson's autobiography ""My Posse Don't Do Homework"".",0,/y5Jee3QmYOlpqfaPPbfvtdVc5wj.jpg,180000000,She Broke the Rules... And Changed Their Lives.,6,56,112792,9909,2015-04-22 18:06:50 UTC,2015-04-22 18:24:49 UTC,5 wins & 5 nominations.,47,6,Michelle Pfeiffer,George Dzundza,Courtney B. Vance,Robin Bartlett,John N. Smith,LouAnne Johnson ,Ronald Bass ,0.0,Drama,NA,Hollywood Pictures,Don Simpson/Jerry Bruckheimer Films,English,NA,United States of America,NA
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),,129,,R,1995-12-27 00:00:00 UTC,398,1995,false,/6KXbhaxkgExC5EdDqAzRinhmoZ8.jpg,29500000,"In the year 2035, convict James Cole (Bruce Willis) reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly (Madeleine Stowe), and patient Jeffrey Goines (Brad Pitt), the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",1,/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg,168840000,The future is history,7,810,114746,63,2015-04-22 18:06:50 UTC,2015-04-22 18:24:49 UTC,Nominated for 2 Oscars. Another 10 wins & 8 nominations.,74,8,Joseph Melito,Bruce Willis,Jon Seda,Michael Chance,Terry Gilliam,Chris Marker ,David Webb Peoples ,472.33898305084745,Thriller,Mystery,Universal Pictures,Atlas Entertainment,English,Français,United States of America,NA
34,Babe (1995),,89,,G,1995-08-03 00:00:00 UTC,84,1995,false,/1tivSvqnr8QegpI9X1fO6Wx87wW.jpg,30000000,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.",1,/gN6X3fwPya8pLffk9OEWV3DqBnE.jpg,254134910,A little pig goes a long way.,6,158,112431,9598,2015-04-22 18:06:50 UTC,2015-04-22 18:24:49 UTC,Won 1 Oscar. Another 18 wins & 17 nominations.,83,6,Christine Cavanaugh,Miriam Margolyes,Danny Mann,Hugo Weaving,Chris Noonan,Dick King-Smith ,George Miller ,747.1163666666666,Children,Drama,Universal Pictures,Kennedy Miller Productions,English,NA,United States of America,Australia
36,Dead Man Walking (1995),,122,,R,1995-12-29 00:00:00 UTC,67,1995,false,/oCT4WUniHknoxyhzzm8aGdyTxfp.jpg,11000000,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,0,/jAuo0Buh8wSOrAnUoiwrJIuOs0q.jpg,39363635,"",7,52,112818,687,2015-04-22 18:06:50 UTC,2015-04-22 18:24:49 UTC,Won 1 Oscar. Another 21 wins & 15 nominations.,80,7,Susan Sarandon,Sean Penn,Robert Prosky,Raymond J. Barry,Tim Robbins,Helen Prejean ,Tim Robbins,257.8512272727273,Drama,Crime,Havoc,PolyGram Filmed Entertainment,English,NA,United States of America,United Kingdom
40,"Cry, the Beloved Country (1995)",,106,,PG-13,1995-12-15 00:00:00 UTC,1,1995,false,/v8QIF0xj5xp0D3P1gMaVi7lFYPD.jpg,0,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,0,/ymA7HQqRiyo1xrnFFv1ZrwNpwlb.jpg,676525,"",4,2,112749,34615,2015-04-22 18:06:50 UTC,2015-04-22 18:24:49 UTC,1 win & 4 nominations.,71,6,James Earl Jones,Richard Harris,Vusi Kunene,Charles S. Dutton,Darrell Roodt,Ronald Harwood ,Alan Paton ,0.0,Drama,NA,NA,NA,English,NA,South Africa,NA
44,Mortal Kombat (1995),,101,,PG-13,1995-08-18 00:00:00 UTC,73,1995,false,/mOIvM0pQA7J9I0Caai0zTPxnE3f.jpg,18000000,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",0,/bdXWixjWVA7Y03PvW74xufrROiJ.jpg,122000000,Nothing In This World Has Prepared You For This.,5,90,113855,9312,2015-04-22 18:06:51 UTC,2015-04-22 18:24:49 UTC,1 win & 2 nominations.,58,5,Christopher Lambert,Robin Shou,Linden Ashby,Cary-Hiroyuki Tagawa,Paul W.S. Anderson,Ed Boon ,John Tobias ,577.7777777777777,Adventure,Fantasy,New Line Cinema,Threshold Entertainment,English,NA,United States of America,NA
45,To Die For (1995),,106,,R,1995-09-27 00:00:00 UTC,31,1995,false,/r7lfKVRjCAQGMpV3rQcalZyv78t.jpg,20000000,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.",0,/zCREx8trzejNieDLUsRuwLU0cS3.jpg,21284514,All she wanted was a little attention.,6,32,114681,577,2015-04-22 18:06:51 UTC,2015-04-22 18:24:49 UTC,Won 1 Golden Globe. Another 7 wins & 11 nominations.,86,6,Nicole Kidman,Matt Dillon,Joaquin Phoenix,Casey Affleck,Gus Van Sant,Joyce Maynard ,Buck Henry ,6.4225699999999994,Comedy,Drama,The Rank Organisation,Columbia Pictures Corporation,English,NA,United States of America,NA
47,Seven (a.k.a. Se7en) (1995),,127,,R,1995-09-22 00:00:00 UTC,848,1995,false,/ba4CpvnaxvAgff2jHiaqJrVpZJ5.jpg,33000000,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",3,/mhFXxB76LVgJBIfJM1sAuVBtVKv.jpg,327311859,Seven deadly sins. Seven ways to die.,7,1931,114369,807,2015-04-22 18:06:51 UTC,2015-04-22 18:24:49 UTC,Nominated for 1 Oscar. Another 27 wins & 18 nominations.,65,8,Morgan Freeman,Andrew Kevin Walker,Daniel Zacapa,Brad Pitt,David Fincher,Andrew Kevin Walker,NA,891.8541181818181,Thriller,Mystery,New Line Cinema,NA,English,NA,United States of America,NA
48,Pocahontas (1995),,81,,G,1995-06-14 00:00:00 UTC,95,1995,false,/vb9ypjVwBKnxQaCGEkduSdJv0Hx.jpg,55000000,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.",0,/cmK0GIn2TdcmuVlyAkK6maoHSmH.jpg,346079773,An American legend comes to life.,6,341,114148,10530,2015-04-22 18:06:51 UTC,2015-04-22 18:24:49 UTC,Won 2 Oscars. Another 13 wins & 5 nominations.,58,6,Irene Bedard,Judy Kuhn,Mel Gibson,David Ogden Stiers,"Mike Gabriel, Eric Goldberg",Carl Binder,Susannah Grant,529.2359509090909,Animation,Children,Walt Disney Pictures,Walt Disney Feature Animation,English,NA,United States of America,NA
50,"Usual Suspects, The (1995)",,106,,R,1995-08-16 00:00:00 UTC,622,1995,false,/c7e3nH3wtSBDrHRB63onrGptl6D.jpg,6000000,"Following a truck hijack in New York, five conmen are arrested and brought together for questioning. As none of them is guilty, they plan a revenge operation against the police. The operation goes well, but then the influence of a legendary mastermind criminal called Keyser Söze is felt. It becomes clear that each one of them has wronged Söze at some point and must pay back now. The payback job leaves 27 men dead in a boat explosion, but the real question arises now: Who actually is Keyser Söze?",2,/jgJoRWltoS17nD5MAQ1yK2Ztefw.jpg,23341568,Five Criminals . One Line Up . No Coincidence.,7,932,114814,629,2015-04-22 18:06:51 UTC,2015-04-22 18:24:49 UTC,Won 2 Oscars. Another 31 wins & 8 nominations.,77,8,Stephen Baldwin,Gabriel Byrne,Benicio Del Toro,Kevin Pollak,Bryan Singer,Christopher McQuarrie,NA,289.0261333333333,Crime,Thriller,PolyGram Filmed Entertainment,NA,English,Français,United States of America,NA
52,Mighty Aphrodite (1995),,95,,R,1995-09-13 00:00:00 UTC,28,1995,false,/6awFSncszExdpyJcPzMeuNj2MI6.jpg,15000000,"Lenny and Amanda have an adopted son Max who turns out to be brilliant. Lenny becomes obsessed with finding Max's real parents because he believes that they too must be brilliant. When he finds that Linda Ash is Max' real mother, Lenny is disappointed. Linda is a prostitute and porn star. On top of that, she is quite possibly the dumbest person Lenny has ever met. Interwoven is a Greek chorus linking the story with the story of Oedipus.",0,/oSHlLyGG0i50z07LmWl5y9f7X4D.jpg,26000000,"",6,18,113819,11448,2015-04-22 18:06:51 UTC,2015-04-22 18:24:49 UTC,Won 1 Oscar. Another 13 wins & 8 nominations.,59,7,Pamela Blair,Rene Ceballos,Elie Chaib,George De La Pena,Woody Allen,Woody Allen,NA,73.33333333333333,Comedy,Romance,Miramax Films,Magnolia Pictures,English,NA,United States of America,NA
57,Home for the Holidays (1995),,103,,PG-13,1995-11-02 00:00:00 UTC,8,1995,false,/vXSKNvfYIg56LM7QldYALYFZImm.jpg,0,"After losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics.",0,/iJTH49iiDfnDGrbIt4k52M532ss.jpg,17519169,We'll do it every year..until we get it right,6,6,113321,9089,2015-04-22 18:06:51 UTC,2015-04-22 18:24:49 UTC,2 nominations.,56,6,Holly Hunter,Robert Downey Jr.,Anne Bancroft,Charles Durning,Jodie Foster,Chris Radant ,W.D. Richter ,0.0,Drama,NA,Paramount Pictures,PolyGram Filmed Entertainment,English,Español,United States of America,NA
69,Friday (1995),,91,,R,1995-04-26 00:00:00 UTC,61,1995,false,/isWyP4jWmcCHjUcanVwGBDwVSsA.jpg,3500000,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do. Encounters with neighbors and other friends over the course of the day and night, and their ensuing antics, make up the rest of the movie.",0,/A66Lze4KZb1fgBkB2blv1a4XwDP.jpg,28215918,A lot can go down between thursday and saturday...,7,151,113118,10634,2015-04-22 18:06:51 UTC,2015-04-22 18:25:21 UTC,3 nominations.,54,7,Ice Cube,Chris Tucker,Nia Long,Tommy 'Tiny' Lister,F. Gary Gray,Ice Cube,DJ Pooh,706.1690857142856,Comedy,NA,New Line Cinema,NA,English,NA,United States of America,NA
70,From Dusk Till Dawn (1996),,108,,R,1996-01-18 00:00:00 UTC,189,1996,false,/anr9X6KpybcZrj6vgqYP0epSTue.jpg,19000000,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",1,/ce0d4kM5KxT4x1Oq8JkSuNYevri.jpg,25836616,One night is all that stands between them and freedom. But it's going to be a hell of a night.,6,377,116367,755,2015-04-22 18:06:51 UTC,2015-04-22 18:25:22 UTC,4 wins & 8 nominations.,52,7,George Clooney,Quentin Tarantino,Harvey Keitel,Juliette Lewis,Robert Rodriguez,Robert Kurtzman ,Quentin Tarantino ,35.982189473684215,Comedy,Action,A Band Apart,Dimension Films,English,Español,United States of America,NA
71,Fair Game (1995),,91,,R,1995-11-03 00:00:00 UTC,9,1995,false,/5sW4TkjidQaCLOoXLXNBFu2OMKF.jpg,50000000,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her",0,/ew0LrIN5fpxdimrErEy9Yry3Nn2.jpg,11534477,He's a cop on the edge. She's a woman with a dangerous secret. And now they're both...,3,13,113010,11859,2015-04-22 18:06:51 UTC,2015-04-22 18:25:22 UTC,3 nominations.,13,4,William Baldwin,Cindy Crawford,Steven Berkoff,Christopher McDonald,Andrew Sipes,Paula Gosling ,Charlie Fletcher ,-76.93104600000001,Action,NA,Warner Bros.,Silver Pictures,English,Español,United States of America,NA
74,Bed of Roses (1996),,87,,PG,1996-01-26 00:00:00 UTC,6,1996,false,/pNa0yfK8ECQyzJJSAohSax6sWPF.jpg,0,"The seeds of love are planted when Lisa, a high-powered investment banker, receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways, they soon find out that sometimes, it's harder than it seems for love to conquer all.",0,/kTEpzjzyeYER1WuCm7Seul4Fatc.jpg,19030691,He gave her flowers. She gave him a chance.,4,4,115644,20927,2015-04-22 18:06:51 UTC,2015-04-22 18:25:22 UTC,N/A,0,6,Christian Slater,Mary Stuart Masterson,Pamela Adlon,Josh Brolin,Michael Goldenberg,Michael Goldenberg,NA,0.0,Romance,Drama,New Line Cinema,Juno Pix,English,NA,United States of America,NA
75,Big Bully (1996),,90,,PG,1996-01-26 00:00:00 UTC,3,1996,false,/rcE1RAkvKubOcgMi2JCkacGkeL5.jpg,15000000,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",0,/2f24NpWIleBVcIgqgt72dxLWwsR.jpg,2042530,A comedy for the kid in all of us.,6,3,115676,36929,2015-04-22 18:06:51 UTC,2015-04-22 18:25:22 UTC,2 wins.,0,4,Rick Moranis,Tom Arnold,Julianne Phillips,Carol Kane,Steve Miner,Mark Steven Johnson,NA,-86.38313333333333,Comedy,Drama,Warner Bros.,Morgan Creek Productions,English,NA,United States of America,NA
